year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,CBE_Sum,height,weight,award_player,award_coach,playersAge
2,CHA,0.0,0.0,CHA,EA,8,Y,N,N,N,Charlotte Sting,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16,6475,90963,Charlotte Coliseum,donovan99w,0,9,23,0,0,0.3670278040571897,71.5,164.41666666666666,0,0,27.75
2,CLE,3.0,3.0,CLE,EA,2,Y,W,L,N,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,hugheda99w,0,17,15,3,3,0.42805221684221967,71.25,168.75,0,1,27.25
2,DET,0.0,0.0,DET,EA,5,N,N,N,N,Detroit Shock,868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,14,18,32,8,8,6,10,10,11,6425,107289,The Palace of Auburn Hills,willigr99w,0,0,0,0,0,0.4465747608494615,71.83333333333333,169.83333333333334,0,0,25.833333333333258
2,HOU,6.0,0.0,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,chancva99w,0,27,5,6,0,0.24242712108341596,71.66666666666667,167.44444444444446,3,0,28.666666666666742
2,IND,0.0,0.0,IND,EA,7,N,N,N,N,Indiana Fever,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,9,23,32,5,11,4,12,7,14,6425,180270,Conseco Fieldhouse,fortnne99w,0,0,0,0,0,0.3467579845729562,71.81818181818181,167.0909090909091,0,0,26.545454545454504
2,LAS,2.0,2.0,LAS,WE,1,Y,W,L,N,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,28,4,32,15,1,13,3,17,4,6450,105005,Staples Center,coopemi01w,0,28,4,2,2,0.4512726489032587,70.66666666666667,163.33333333333334,0,0,27.666666666666742
2,MIA,0.0,0.0,MIA,EA,6,Y,N,N,N,Miami Sol,647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,13,19,32,9,7,4,12,9,12,6475,127721,AmericanAirlines Arena,rothsro99w,0,13,19,0,0,0.2757287795801641,71.45454545454545,156.9090909090909,0,0,27.90909090909099
2,MIN,0.0,0.0,MIN,WE,6,N,N,N,N,Minnesota Lynx,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,15,17,32,8,8,7,9,5,16,6425,116638,Target Center,aglerbr99w,0,15,17,0,0,0.2857449943204977,73.0,176.45454545454547,1,0,25.727272727272748
2,NYL,4.0,3.0,NYL,EA,1,Y,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,20,12,32,12,4,8,8,14,7,6425,231962,Madison Square Garden (IV),adubari99w,0,20,12,4,3,0.35732316436129025,71.33333333333333,169.0,2,0,29.5
2,ORL,1.0,2.0,CON,EA,3,N,L,N,N,Orlando Miracle,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,16,16,32,11,5,5,11,13,8,6500,117810,Amway Arena,peckca99wc,0,16,16,1,2,0.28329474074092464,71.72727272727273,173.45454545454547,0,0,27.272727272727252
2,PHO,0.0,2.0,PHO,WE,4,N,L,N,N,Phoenix Mercury,803,1800,513,661,124,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,20,12,32,11,5,9,7,11,10,6425,161075,US Airways Center,coopecy01w,0,0,0,0,0,0.3622228780755706,71.18181818181819,158.72727272727272,0,0,28.818181818181756
2,POR,0.0,0.0,POR,WE,7,N,N,N,N,Portland Fire,761,1828,488,697,145,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,10,22,32,6,10,4,12,4,17,6525,133076,Rose Garden Arena,hargrli99w,0,10,22,0,0,0.3424850428671738,72.0,171.41666666666666,0,0,26.75
2,SAC,0.0,2.0,SAC,WE,3,Y,L,N,N,Sacramento Monarchs,876,1993,449,650,142,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,21,11,32,13,3,8,8,13,8,6400,126841,ARCO Arena (II),allenso99w,1,21,11,0,2,0.45454188042478366,71.76923076923077,162.92307692307693,0,0,28.461538461538566
2,SEA,0.0,0.0,SEA,WE,8,N,N,N,N,Seattle Storm,667,1740,379,561,109,364,256,537,793,390,648,255,525,93,1822,778,1721,498,654,117,334,288,721,1009,506,618,284,529,123,2171,6,26,32,4,12,2,14,4,17,6475,142594,KeyArena at Seattle Center,dunnli99wc,0,6,26,0,0,0.3515805073244141,72.1,161.5,0,0,29.299999999999955
2,UTA,0.0,0.0,SAS,WE,5,Y,N,N,N,Utah Starzz,858,1896,609,790,88,262,348,732,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,313,598,911,503,702,301,437,112,2407,18,14,32,12,4,6,10,13,8,6400,103442,EnergySolutions Arena,harveca99w,2,0,0,0,0,0.3697992906478973,71.63636363636364,163.36363636363637,0,0,27.63636363636374
2,WAS,0.0,2.0,WAS,EA,4,N,L,N,N,Washington Mystics,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,maherto99w,0,0,0,0,0,0.3880822270444826,73.0,170.5,0,0,27.5
3,CHA,4.0,4.0,CHA,EA,4,Y,W,W,L,Charlotte Sting,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,donovan99w,0,18,14,4,4,0.420677493082458,71.0,162.83333333333334,0,0,28.416666666666742
3,CLE,1.0,2.0,CLE,EA,1,N,L,N,N,Cleveland Rockers,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6,6425,147373,Quicken Loans Arena,hugheda99w,0,22,10,1,2,0.3136083497404927,71.0,165.8181818181818,0,0,27.545454545454504
3,DET,0.0,0.0,DET,EA,7,N,N,N,N,Detroit Shock,774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,10,22,32,6,10,4,12,7,14,6550,109348,The Palace of Auburn Hills,laimbbi01w,2,0,0,0,0,0.31650845335671735,71.5,165.16666666666666,0,0,25.833333333333258
3,HOU,0.0,2.0,HOU,WE,4,Y,L,N,N,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,chancva99w,0,19,13,0,2,0.4212189894465435,71.38461538461539,161.6153846153846,0,0,28.84615384615381
3,IND,0.0,0.0,IND,EA,6,Y,N,N,N,Indiana Fever,762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,10,22,32,7,9,3,13,7,14,6475,138922,Conseco Fieldhouse,fortnne99w,0,10,22,0,0,0.3560180151998036,71.15384615384616,165.76923076923077,0,0,27.384615384615472
3,LAS,6.0,1.0,LAS,WE,1,Y,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,coopemi01w,0,28,4,6,1,0.5549230693834913,72.9090909090909,167.0909090909091,9,0,30.09090909090901
3,MIA,1.0,2.0,MIA,EA,3,N,L,N,N,Miami Sol,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,20,12,32,10,6,10,6,14,7,6575,141717,AmericanAirlines Arena,rothsro99w,0,20,12,1,2,0.3635431550795611,72.16666666666667,165.41666666666666,1,0,28.083333333333258
