year,tmID,W,L
2,HOU,6,0
2,ORL,1,2
2,CLE,3,3
2,WAS,0,2
2,NYL,4,3
2,PHO,0,2
2,LAS,2,2
2,SAC,0,2
3,CLE,1,2
3,CHA,4,4
3,MIA,1,2
3,NYL,3,3
3,HOU,0,2
3,LAS,6,1
3,UTA,0,2
3,SAC,3,2
4,WAS,3,2
4,SEA,0,2
4,LAS,6,0
4,HOU,1,2
4,UTA,2,3
4,IND,1,2
4,NYL,4,4
4,CHA,0,2
5,SAC,3,3
5,CLE,1,2
5,DET,6,2
5,CHA,0,2
5,CON,2,2
5,MIN,1,2
5,LAS,5,4
5,HOU,1,2
6,WAS,1,2
6,CON,5,3
6,DET,1,2
6,NYL,2,3
6,MIN,0,2
6,SEA,6,2
6,LAS,1,2
6,SAC,3,3
7,CON,5,3
7,NYL,0,2
7,IND,2,2
7,SEA,1,2
7,HOU,2,3
7,LAS,0,2
7,SAC,7,1
7,DET,0,2
8,LAS,2,3
8,HOU,0,2
8,SAC,6,3
8,IND,0,2
8,DET,7,3
8,WAS,0,2
8,CON,3,2
8,SEA,1,2
9,NYL,1,2
9,DET,6,5
9,CON,1,2
9,IND,3,3
9,SEA,0,2
9,PHO,7,2
9,SAC,1,2
9,SAS,2,3
10,SAS,4,5
10,SEA,1,2
10,LAS,3,3
10,IND,1,2
10,DET,7,2
10,CON,1,2
10,NYL,3,3
10,SAC,1,2
11,IND,6,4
11,ATL,0,2
11,DET,3,2
11,SAS,1,2
11,PHO,7,4
11,SEA,1,2
11,LAS,3,3
11,WAS,0,2
