year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,round,series,tmIDWinner,tmIDLoser,W_series,L_series,playerID,CBE_Sum,bioID,height,weight,birthDate,award_player,award_coach
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,castriz01w,0.4225595993318348,castriz01w,72.0,140,1982-03-13,,
11,ATL,0.0,2.0,ATL,EA,2.0,Y,L,N,N,Atlanta Dream,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,120737.0,Philips Arena,meadoma99w,0,18.0,16.0,0.0,2.0,,,,,,,castriz01w,0.4418192350244766,castriz01w,72.0,140,1982-03-13,,Coach of the Year
3,MIA,1.0,2.0,MIA,EA,3.0,N,L,N,N,Miami Sol,754.0,1826.0,356.0,469.0,93.0,295.0,292.0,651.0,943.0,467.0,602.0,300.0,448.0,153.0,1957.0,679.0,1725.0,420.0,588.0,120.0,395.0,301.0,667.0,968.0,388.0,538.0,259.0,512.0,87.0,1898.0,20.0,12.0,32.0,10.0,6.0,10.0,6.0,14.0,7.0,6575.0,141717.0,AmericanAirlines Arena,rothsro99w,0,20.0,12.0,1.0,2.0,,,,,,,castriz01w,0.0,castriz01w,72.0,140,1982-03-13,,
4,PHO,,,PHO,WE,7.0,N,N,N,N,Phoenix Mercury,793.0,1889.0,405.0,538.0,100.0,328.0,292.0,626.0,918.0,427.0,623.0,267.0,501.0,94.0,2091.0,850.0,1870.0,436.0,608.0,155.0,388.0,309.0,692.0,1001.0,532.0,600.0,268.0,491.0,127.0,2291.0,11.0,21.0,32.0,10.0,6.0,1.0,15.0,7.0,14.0,6400.0,139798.0,US Airways Center,shumajo01w,0,0.0,0.0,0.0,0.0,,,,,,,castriz01w,0.3131868131868132,castriz01w,72.0,140,1982-03-13,,
6,SEA,6.0,2.0,SEA,WE,2.0,Y,W,W,W,Seattle Storm,873.0,2025.0,524.0,676.0,167.0,439.0,350.0,709.0,1059.0,552.0,665.0,302.0,499.0,131.0,2437.0,851.0,1989.0,423.0,592.0,139.0,391.0,303.0,679.0,982.0,507.0,678.0,252.0,527.0,137.0,2264.0,20.0,14.0,34.0,13.0,4.0,7.0,10.0,13.0,9.0,6825.0,134291.0,KeyArena at Seattle Center,donovan99w,0,20.0,14.0,6.0,2.0,FR,C,SEA,MIN,2.0,0.0,castriz01w,0.3700765526608223,castriz01w,72.0,140,1982-03-13,,
6,SEA,6.0,2.0,SEA,WE,2.0,Y,W,W,W,Seattle Storm,873.0,2025.0,524.0,676.0,167.0,439.0,350.0,709.0,1059.0,552.0,665.0,302.0,499.0,131.0,2437.0,851.0,1989.0,423.0,592.0,139.0,391.0,303.0,679.0,982.0,507.0,678.0,252.0,527.0,137.0,2264.0,20.0,14.0,34.0,13.0,4.0,7.0,10.0,13.0,9.0,6825.0,134291.0,KeyArena at Seattle Center,donovan99w,0,20.0,14.0,6.0,2.0,CF,F,SEA,SAC,2.0,1.0,castriz01w,0.3700765526608223,castriz01w,72.0,140,1982-03-13,,
6,SEA,6.0,2.0,SEA,WE,2.0,Y,W,W,W,Seattle Storm,873.0,2025.0,524.0,676.0,167.0,439.0,350.0,709.0,1059.0,552.0,665.0,302.0,499.0,131.0,2437.0,851.0,1989.0,423.0,592.0,139.0,391.0,303.0,679.0,982.0,507.0,678.0,252.0,527.0,137.0,2264.0,20.0,14.0,34.0,13.0,4.0,7.0,10.0,13.0,9.0,6825.0,134291.0,KeyArena at Seattle Center,donovan99w,0,20.0,14.0,6.0,2.0,F,G,SEA,CON,2.0,1.0,castriz01w,0.3700765526608223,castriz01w,72.0,140,1982-03-13,,
7,SEA,1.0,2.0,SEA,WE,2.0,Y,L,N,N,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0,20.0,14.0,1.0,2.0,,,,,,,castriz01w,0.3623794385960279,castriz01w,72.0,140,1982-03-13,,
8,SEA,1.0,2.0,SEA,WE,4.0,Y,L,N,N,Seattle Storm,961.0,2124.0,562.0,712.0,160.0,475.0,327.0,821.0,1148.0,514.0,682.0,232.0,570.0,127.0,2644.0,940.0,2218.0,531.0,707.0,164.0,484.0,322.0,709.0,1031.0,520.0,683.0,297.0,485.0,115.0,2575.0,18.0,16.0,34.0,9.0,8.0,9.0,8.0,10.0,10.0,6800.0,145664.0,KeyArena at Seattle Center,donovan99w,0,18.0,16.0,1.0,2.0,,,,,,,castriz01w,0.3797998461225934,castriz01w,72.0,140,1982-03-13,,
10,ATL,,,ATL,EA,7.0,Y,N,N,N,Atlanta Dream,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,Philips Arena,meadoma99w,0,4.0,30.0,0.0,0.0,,,,,,,desouer01w,0.4573357080944479,desouer01w,77.0,190,1982-03-03,,
